Price,Close,High,Low,Open,Volume
Ticker,8766.T,8766.T,8766.T,8766.T,8766.T
Date,,,,,
2013-12-10,729.3344116210938,734.7529703081821,726.083292283447,727.167051644683,5393100
2013-12-11,726.0831909179688,733.6691878954487,717.413593476591,733.6691878954487,5760900
2013-12-12,722.83203125,724.9994701745613,717.4135529981195,719.5809125496656,4212600
2013-12-13,720.664794921875,730.4181526905635,708.743997858024,720.664794921875,15608700
2013-12-16,710.9114379882812,718.4973564707182,705.4928794305241,714.1625572483298,6964500
2013-12-17,715.2462768554688,721.7485157359731,708.7440379749645,716.3299568778751,4591500
2013-12-18,729.3344116210938,731.5018509705352,711.9951349446543,715.2462542823012,7585800
2013-12-19,741.255126953125,742.3388068214059,730.4180901512503,731.5017700195312,10294500
2013-12-20,742.3388061523438,743.4225653926698,733.6692084678666,741.2551262850395,7181400
2013-12-24,745.5899658203125,754.2596433509877,743.4226059674133,747.7574050462379,7199700
2013-12-25,743.4225463867188,743.4225463867186,735.8365493904635,739.0876682822815,4883400
2013-12-26,754.2595825195312,756.4270215706515,746.6736649001404,748.8410245782408,4621800
2013-12-27,760.7618408203125,761.8455206885934,749.9248040184378,758.5944017107288,5986800
2013-12-30,761.8456420898438,769.431640495716,758.5945225939084,769.431640495716,6334200
2014-01-06,751.008544921875,761.8455826044857,742.3388671519695,757.5107834060472,8263500
2014-01-07,730.4180297851562,742.3387454701128,728.2505908547026,739.0876267609401,8170200
2014-01-08,736.92041015625,739.0877701341273,728.2507321256487,736.92041015625,8740800
2014-01-09,739.087646484375,745.5898840762405,731.501729084871,738.0039666767366,7383900
2014-01-10,727.1669921875,731.5017911589151,716.3298756994259,729.3343519866954,15158400
2014-01-14,707.6603393554688,718.7141451618355,702.4585483877668,718.7141451618355,11552400
2014-01-15,728.4674072265625,728.9008632924051,720.0144980179975,720.6647218032718,10734900
2014-01-16,733.4525146484375,740.3882093694696,731.068386950933,732.5855230434223,6924600
2014-01-17,723.0490112304688,733.2358263578708,720.0146593436558,731.0684661700209,5774100
2014-01-20,713.2955322265625,721.0982180850117,712.4285406735042,721.0982180850117,5981400
2014-01-21,715.8964233398438,721.31498161208,712.4285365208497,717.4136387055959,7243500
